Date,Product,Category,Region,Sales,Profit,Quantity
06-08-2025,Smartphones,Electronics,East,728256.23,324117.51,13
07-08-2025,Clocks,Home Decor,East,10660.35,1860.04,4
08-08-2025,T-Shirts,Clothing,West,9328.44,2473.75,3
10-08-2025,Rug,Home Decor,North,23375.92,9540.18,9
11-08-2025,Clocks,Home Decor,North,15813.74,3561.35,5
11-08-2025,T-Shirts,Clothing,North,11203.11,3281.05,3
18-08-2025,Sofas,Furniture,West,144882.56,64829.52,6
18-08-2025,Sneakers,Clothing,South,55682.89,14527.05,12
21-08-2025,Scented Candles,Home Decor,South,24436.42,7311.67,12
24-08-2025,Lamps,Furniture,West,15623.84,5422.49,1
25-08-2025,Scented Candles,Home Decor,North,17048.63,2572.72,7
25-08-2025,Rug,Home Decor,South,16907.12,3567.42,7
28-08-2025,Headphones,Electronics,North,50170.36,15094.01,1
01-09-2025,Dresses,Clothing,East,39080.98,9656.76,10
04-09-2025,Tablets,Electronics,North,225387.92,85803.29,5
05-09-2025,Clocks,Home Decor,East,35575.24,13523.32,11
06-09-2025,Scented Candles,Home Decor,South,7292.25,2896.9,2
06-09-2025,Dresses,Clothing,West,49192.02,17833.59,14
13-09-2025,Lamps,Furniture,West,333375.4,144624.45,15
13-09-2025,Rug,Home Decor,East,2442.11,961.8,1
17-09-2025,Laptops,Electronics,East,717111.2,169920.2,15
26-09-2025,Dresses,Clothing,West,13409.76,4120.63,3
26-09-2025,Lamps,Furniture,North,35639.46,7257.75,2
28-09-2025,Sneakers,Clothing,South,3224.17,1377.97,1
28-09-2025,Jeans,Clothing,West,64141.96,20535.91,13
29-09-2025,Bookshelves,Furniture,North,148257.9,50104.24,6
29-09-2025,T-Shirts,Clothing,North,38268.05,12649.03,13
01-10-2025,Dresses,Clothing,West,36694.23,8343.29,10
02-10-2025,Tablets,Electronics,West,384065.85,89433.67,9
05-10-2025,Jackets,Clothing,North,31907.73,8480.47,12
13-10-2025,Scented Candles,Home Decor,South,3732.77,1110.48,1
15-10-2025,Office Chairs,Furniture,West,273418.67,80554.58,12
18-10-2025,Lamps,Furniture,North,271742.62,49174.67,12
18-10-2025,Headphones,Electronics,East,133312.95,53550.74,3
18-10-2025,Smartphones,Electronics,West,885716.11,154103.13,15
20-10-2025,Sofas,Furniture,South,55954.39,12924.59,3
26-10-2025,Rug,Home Decor,South,38468.95,11475.79,12
26-10-2025,Monitors,Electronics,North,40816.48,6610.15,1
05-11-2025,Clocks,Home Decor,North,3128.69,976.7,1
08-11-2025,Lamps,Furniture,East,94918.43,30574.53,6
10-11-2025,Rug,Home Decor,South,15730.14,4673.03,5
12-11-2025,Jackets,Clothing,South,49302.94,16178.36,12
12-11-2025,Rug,Home Decor,East,2862.82,916.29,1
12-11-2025,Smartphones,Electronics,East,106900.47,31952.4,2
16-11-2025,Laptops,Electronics,South,487899.78,97268.26,10
20-11-2025,Sneakers,Clothing,East,45232.56,9526.9,12
20-11-2025,Scented Candles,Home Decor,North,29294.56,6068.21,9
23-11-2025,Office Chairs,Furniture,West,92743.14,37118.88,5
24-11-2025,Tablets,Electronics,West,522618.9,123307.11,10
24-11-2025,Desks,Furniture,West,28780.67,12405.57,2
24-11-2025,Sofas,Furniture,East,154295.63,47369.84,8
25-11-2025,Dresses,Clothing,West,24676.09,10270.97,6
25-11-2025,Bookshelves,Furniture,North,74450.64,19946.64,3
27-11-2025,Laptops,Electronics,West,309097.43,90504.2,7
27-11-2025,Laptops,Electronics,South,536843.3,185493.71,15
28-11-2025,Scented Candles,Home Decor,South,18587.59,2814.42,6
29-11-2025,Desks,Furniture,South,127370.28,19207.78,9
02-12-2025,Wall Art,Home Decor,East,34902.21,10356.5,13
05-12-2025,Wall Art,Home Decor,West,37264.56,7607.07,10
10-12-2025,Dresses,Clothing,West,15476.42,5613.99,5
11-12-2025,T-Shirts,Clothing,North,6231.14,2142.24,2
12-12-2025,Sofas,Furniture,South,266600.87,119457.36,14
14-12-2025,Bookshelves,Furniture,North,67314.06,13793.55,4
15-12-2025,Smartphones,Electronics,East,155986.04,25470.81,3
18-12-2025,Smartphones,Electronics,East,215830.44,83155.37,5
18-12-2025,Laptops,Electronics,South,601214.98,246874.33,10
21-12-2025,Sneakers,Clothing,South,48567.77,16177.9,13
21-12-2025,Clocks,Home Decor,West,52184.2,17088.98,14
22-12-2025,Sneakers,Clothing,East,39317.44,12810.57,11
23-12-2025,Wall Art,Home Decor,North,4746.17,1431.48,2
24-12-2025,Vases,Home Decor,West,18259.97,5541.29,6
25-12-2025,Lamps,Furniture,West,239484.71,47690.29,13
26-12-2025,Jackets,Clothing,North,35244.06,14710.85,9
29-12-2025,Lamps,Furniture,North,227077.96,88430.85,11
02-01-2026,Sofas,Furniture,North,359812.37,99079.91,15
02-01-2026,Tablets,Electronics,West,259910.06,63995.45,6
04-01-2026,Clocks,Home Decor,West,9467.99,2422.56,4
05-01-2026,Rug,Home Decor,North,28611.79,9198.6,8
06-01-2026,T-Shirts,Clothing,West,3034.6,976.16,1
07-01-2026,Dresses,Clothing,East,9221.81,3487.1,2
08-01-2026,Dresses,Clothing,South,46381.57,20180.92,11
09-01-2026,Bookshelves,Furniture,West,124639.26,29870.07,9
11-01-2026,Sofas,Furniture,North,22422.55,5001.81,1
14-01-2026,T-Shirts,Clothing,South,38794.32,14911.95,10
17-01-2026,Clocks,Home Decor,East,43488.41,11338.36,12
26-01-2026,Smartphones,Electronics,South,876281.94,364766.63,15
26-01-2026,Lamps,Furniture,North,116775.47,21961.55,5
26-01-2026,Vases,Home Decor,West,18893.09,6469.4,6
26-01-2026,T-Shirts,Clothing,West,8938.01,3812.61,2
30-01-2026,Scented Candles,Home Decor,East,15720.09,4987.16,6
31-01-2026,Jeans,Clothing,North,48791.96,15540.48,10
02-02-2026,Smartphones,Electronics,West,155240.48,53878.22,4
03-02-2026,Clocks,Home Decor,South,42310.62,16727.08,14
03-02-2026,Scented Candles,Home Decor,East,18229.84,6350.77,7
05-02-2026,Vases,Home Decor,East,26615.14,11258.89,8
06-02-2026,Lamps,Furniture,South,165463.64,28469.49,7
06-02-2026,Rug,Home Decor,South,5930.89,911.74,2
07-02-2026,Desks,Furniture,North,142270.2,58251.55,8
08-02-2026,Tablets,Electronics,East,757010.63,170022.24,13
14-02-2026,Bookshelves,Furniture,West,204382.19,71577.97,9
15-02-2026,Monitors,Electronics,North,539642.97,167661.7,13
16-02-2026,Wall Art,Home Decor,West,3251.22,887.56,1
16-02-2026,Office Chairs,Furniture,South,146066.3,60499.82,7
19-02-2026,Jeans,Clothing,West,16349.13,2698.0,5
20-02-2026,Clocks,Home Decor,South,8335.78,3248.94,3
21-02-2026,Office Chairs,Furniture,East,68859.6,22619.57,4
22-02-2026,Dresses,Clothing,North,64251.91,24723.53,13
28-02-2026,T-Shirts,Clothing,South,3231.76,909.18,1
01-03-2026,Jeans,Clothing,North,23549.62,9279.79,6
03-03-2026,Vases,Home Decor,East,25531.4,6486.07,12
03-03-2026,Desks,Furniture,West,154817.1,30569.09,9
07-03-2026,Rug,Home Decor,North,4483.78,1211.46,2
12-03-2026,Tablets,Electronics,South,113138.75,31437.12,2
13-03-2026,Laptops,Electronics,West,333924.18,135949.48,10
15-03-2026,Dresses,Clothing,North,43655.59,12585.58,13
16-03-2026,Lamps,Furniture,South,148122.43,57259.47,6
21-03-2026,Scented Candles,Home Decor,East,21340.35,6475.24,7
23-03-2026,Clocks,Home Decor,South,20675.85,7959.54,10
23-03-2026,Office Chairs,Furniture,South,149564.48,40674.62,8
25-03-2026,Clocks,Home Decor,East,46261.16,19042.47,13
29-03-2026,Vases,Home Decor,North,37490.73,13761.69,13
02-04-2026,Headphones,Electronics,South,149014.31,26934.12,4
02-04-2026,Sofas,Furniture,South,203171.21,79714.67,11
08-04-2026,Tablets,Electronics,North,156746.68,28256.57,4
10-04-2026,Wall Art,Home Decor,South,28940.91,6875.16,8
12-04-2026,Tablets,Electronics,South,390027.2,89276.51,10
14-04-2026,Lamps,Furniture,East,228365.31,75764.26,13
14-04-2026,Lamps,Furniture,West,239026.43,60158.05,15
14-04-2026,Jeans,Clothing,North,30725.06,8857.2,9
15-04-2026,Bookshelves,Furniture,North,135783.83,33075.2,10
20-04-2026,Laptops,Electronics,North,521085.02,179336.41,14
20-04-2026,Headphones,Electronics,North,636218.03,261843.5,11
21-04-2026,Clocks,Home Decor,North,15764.88,5476.97,5
24-04-2026,T-Shirts,Clothing,West,46101.98,13083.36,10
27-04-2026,Monitors,Electronics,East,774350.85,241533.08,14
28-04-2026,Wall Art,Home Decor,North,28338.16,8505.51,8
29-04-2026,Headphones,Electronics,West,242089.82,55410.7,5
29-04-2026,Sofas,Furniture,West,96660.33,24638.24,7
30-04-2026,Lamps,Furniture,East,175163.95,61757.35,12
03-05-2026,Lamps,Furniture,South,31544.01,8522.19,2
03-05-2026,Rug,Home Decor,East,37071.36,10672.73,14
16-05-2026,Scented Candles,Home Decor,West,50236.42,8310.8,14
18-05-2026,Office Chairs,Furniture,West,71167.95,20178.49,3
18-05-2026,Clocks,Home Decor,East,24594.54,9591.16,8
20-05-2026,Laptops,Electronics,West,441950.53,77579.14,9
23-05-2026,Smartphones,Electronics,East,403655.73,82053.16,8
26-05-2026,Dresses,Clothing,East,39656.16,10735.72,11
31-05-2026,Office Chairs,Furniture,South,157893.55,64879.82,10
02-06-2026,Wall Art,Home Decor,North,24876.03,7303.96,10
06-06-2026,Office Chairs,Furniture,North,93300.53,34122.63,5
06-06-2026,Office Chairs,Furniture,West,347669.98,152820.14,14
12-06-2026,Headphones,Electronics,North,60573.25,10006.17,1
12-06-2026,Desks,Furniture,East,47155.06,20952.54,3
13-06-2026,Tablets,Electronics,East,105289.76,17237.57,3
15-06-2026,Rug,Home Decor,West,25721.96,6816.19,7
16-06-2026,Laptops,Electronics,East,435667.65,159306.62,7
17-06-2026,Jeans,Clothing,North,51365.87,9735.94,11
19-06-2026,Jeans,Clothing,East,2706.93,882.41,1
20-06-2026,Rug,Home Decor,North,40633.03,6655.35,15
26-06-2026,Vases,Home Decor,West,35119.57,6261.74,13
27-06-2026,T-Shirts,Clothing,South,19909.86,5603.74,6
28-06-2026,Desks,Furniture,East,226192.21,91170.55,14
01-07-2026,Monitors,Electronics,West,491175.67,203291.76,13
05-07-2026,T-Shirts,Clothing,North,47300.3,10959.69,12
05-07-2026,Sneakers,Clothing,West,37832.65,13336.29,13
07-07-2026,Clocks,Home Decor,South,21448.33,6893.48,8
09-07-2026,Rug,Home Decor,East,16283.37,4658.74,8
12-07-2026,Jackets,Clothing,South,27089.3,11902.29,8
13-07-2026,Jackets,Clothing,West,24077.96,10272.3,9
14-07-2026,T-Shirts,Clothing,West,37082.31,13354.89,10
14-07-2026,Tablets,Electronics,West,267213.79,67624.54,7
17-07-2026,Tablets,Electronics,South,281277.37,55081.07,7
18-07-2026,Sneakers,Clothing,East,36340.43,15922.78,11
23-07-2026,Rug,Home Decor,North,31951.36,7245.84,15
27-07-2026,Bookshelves,Furniture,North,78841.88,26018.01,4
28-07-2026,Monitors,Electronics,West,367094.25,89699.88,6
02-08-2026,Tablets,Electronics,North,190738.93,44862.57,5
03-08-2026,Rug,Home Decor,South,26608.06,5473.97,10
04-08-2026,Monitors,Electronics,East,88105.62,38112.46,2
06-08-2026,Laptops,Electronics,South,547769.6,205242.32,13
06-08-2026,Rug,Home Decor,North,34375.76,7010.3,12
07-08-2026,T-Shirts,Clothing,North,47909.13,19338.58,15
09-08-2026,Monitors,Electronics,North,520830.87,146889.84,10
12-08-2026,Smartphones,Electronics,East,334946.21,91640.73,6
13-08-2026,Rug,Home Decor,South,4462.35,1748.27,2
18-08-2026,Bookshelves,Furniture,North,175257.12,64114.69,9
19-08-2026,Clocks,Home Decor,West,4207.38,911.03,2
19-08-2026,Monitors,Electronics,East,359623.05,59233.3,6
21-08-2026,Smartphones,Electronics,West,227165.11,67074.9,5
21-08-2026,Lamps,Furniture,North,54534.21,10380.12,3
21-08-2026,Wall Art,Home Decor,South,12746.32,2508.44,4
22-08-2026,Office Chairs,Furniture,East,343827.44,123372.71,15
22-08-2026,Scented Candles,Home Decor,North,13276.99,2914.63,4
22-08-2026,Headphones,Electronics,West,97959.45,20030.86,2
22-08-2026,Sneakers,Clothing,South,18213.18,4221.84,6
25-08-2026,Smartphones,Electronics,East,576451.36,252181.04,15
30-08-2026,Bookshelves,Furniture,North,159361.12,26261.65,8
31-08-2026,Smartphones,Electronics,East,515908.79,162256.89,10
01-09-2026,Laptops,Electronics,South,520730.68,211188.24,9
03-09-2026,Headphones,Electronics,South,258316.05,62635.83,7
05-09-2026,Wall Art,Home Decor,East,10067.63,1654.36,4
05-09-2026,Dresses,Clothing,South,8320.22,3074.1,3
07-09-2026,Office Chairs,Furniture,West,68077.36,18712.9,4
11-09-2026,Smartphones,Electronics,West,209736.46,71586.95,6
16-09-2026,Wall Art,Home Decor,South,33071.5,8254.59,9
18-09-2026,Office Chairs,Furniture,West,119873.89,34736.73,7
19-09-2026,Vases,Home Decor,East,34006.91,10591.52,10
19-09-2026,Smartphones,Electronics,West,440933.21,166656.5,8
20-09-2026,Office Chairs,Furniture,East,146779.8,51188.71,7
21-09-2026,Desks,Furniture,North,24827.64,8003.38,1
22-09-2026,Tablets,Electronics,East,35742.48,5943.27,1
24-09-2026,Scented Candles,Home Decor,East,4303.04,1862.73,2
25-09-2026,Tablets,Electronics,East,307834.11,82882.79,6
06-10-2026,Laptops,Electronics,East,246025.1,67111.7,4
08-10-2026,Bookshelves,Furniture,South,49454.48,19169.53,2
08-10-2026,Dresses,Clothing,North,18394.76,4568.12,4
11-10-2026,Dresses,Clothing,North,32437.53,7052.25,9
14-10-2026,Rug,Home Decor,East,31498.21,10750.29,13
15-10-2026,Clocks,Home Decor,West,28193.83,8435.91,8
15-10-2026,Tablets,Electronics,West,646461.49,181945.84,13
17-10-2026,Clocks,Home Decor,East,26359.87,11198.7,12
19-10-2026,Monitors,Electronics,South,334314.33,76559.58,8
21-10-2026,Jeans,Clothing,South,60223.1,25378.82,14
22-10-2026,Desks,Furniture,East,58447.66,20532.28,4
29-10-2026,Jackets,Clothing,South,36041.02,15533.55,11
30-10-2026,Smartphones,Electronics,South,356610.13,73648.92,9
31-10-2026,Rug,Home Decor,South,10650.31,3595.51,5
02-11-2026,Desks,Furniture,North,155147.59,23970.97,7
03-11-2026,Laptops,Electronics,North,555060.29,143695.68,12
06-11-2026,Bookshelves,Furniture,South,145738.52,44547.8,6
08-11-2026,Dresses,Clothing,West,19259.18,7252.61,4
09-11-2026,Tablets,Electronics,East,171249.98,39977.82,4
10-11-2026,Wall Art,Home Decor,West,19025.4,4209.54,6
11-11-2026,Vases,Home Decor,North,46978.76,11391.62,14
17-11-2026,Monitors,Electronics,North,719013.03,170856.89,13
18-11-2026,Sneakers,Clothing,West,66696.53,11587.43,14
20-11-2026,Monitors,Electronics,North,432126.97,182261.14,9
20-11-2026,Dresses,Clothing,South,25777.84,8367.38,8
27-11-2026,Headphones,Electronics,East,113950.4,42770.31,2
28-11-2026,Vases,Home Decor,North,32702.55,14500.72,9
01-12-2026,Dresses,Clothing,South,14025.4,2856.41,3
01-12-2026,Jackets,Clothing,South,26056.93,10299.42,9
05-12-2026,Jeans,Clothing,West,29471.78,11226.54,6
11-12-2026,Lamps,Furniture,East,46362.26,18665.24,3
12-12-2026,Vases,Home Decor,South,23961.14,10239.66,9
13-12-2026,Desks,Furniture,East,284138.16,73203.92,13
14-12-2026,Sneakers,Clothing,North,16613.94,4634.73,5
14-12-2026,Tablets,Electronics,West,494385.11,111214.79,9
14-12-2026,Rug,Home Decor,East,31307.66,12543.12,10
17-12-2026,Headphones,Electronics,East,687180.88,190897.86,13
17-12-2026,Wall Art,Home Decor,West,19159.76,2941.9,6
19-12-2026,Rug,Home Decor,South,28951.62,10561.94,13
19-12-2026,Clocks,Home Decor,West,3686.7,1594.41,1
21-12-2026,Laptops,Electronics,South,402356.82,120274.06,12
22-12-2026,Tablets,Electronics,West,181225.45,79492.63,3
23-12-2026,Sneakers,Clothing,North,29087.23,11466.77,10
27-12-2026,Clocks,Home Decor,West,27964.33,8672.72,9
28-12-2026,Clocks,Home Decor,East,30817.04,11727.54,15
30-12-2026,T-Shirts,Clothing,East,33951.42,10904.91,9
30-12-2026,Wall Art,Home Decor,West,35126.49,9406.53,15
03-01-2027,Wall Art,Home Decor,East,30707.05,10734.35,11
05-01-2027,Sofas,Furniture,North,98566.48,28537.78,7
05-01-2027,Vases,Home Decor,North,6649.81,1981.08,2
07-01-2027,Bookshelves,Furniture,South,14653.57,4241.71,1
07-01-2027,Dresses,Clothing,North,29432.68,5014.9,11
08-01-2027,Desks,Furniture,North,233991.56,78600.83,10
11-01-2027,Smartphones,Electronics,South,51285.38,11587.07,1
15-01-2027,Jeans,Clothing,East,55647.97,18206.84,15
16-01-2027,Lamps,Furniture,North,206118.53,40379.58,14
19-01-2027,Lamps,Furniture,South,87302.74,35953.25,4
24-01-2027,Monitors,Electronics,North,809151.83,350812.98,14
24-01-2027,Rug,Home Decor,South,22493.39,5886.36,7
25-01-2027,Jeans,Clothing,North,44156.19,19511.24,13
27-01-2027,Monitors,Electronics,East,496726.02,108918.81,10
27-01-2027,Smartphones,Electronics,East,233825.3,100744.71,5
01-02-2027,Headphones,Electronics,East,161929.33,59611.39,3
04-02-2027,Wall Art,Home Decor,East,22420.77,4884.87,8
05-02-2027,Rug,Home Decor,East,50725.17,11667.61,15
05-02-2027,Jackets,Clothing,South,23366.65,8206.61,8
06-02-2027,Jeans,Clothing,East,39068.93,9881.66,8
11-02-2027,Dresses,Clothing,West,27059.41,4561.19,9
16-02-2027,Office Chairs,Furniture,South,21643.37,7096.51,1
17-02-2027,Jeans,Clothing,West,72631.68,18706.23,15
17-02-2027,Sofas,Furniture,East,130743.1,30410.5,6
17-02-2027,Clocks,Home Decor,South,24854.94,6783.94,10
17-02-2027,Sneakers,Clothing,West,50456.76,20096.24,15
18-02-2027,Jeans,Clothing,North,61713.19,9986.85,15
18-02-2027,Tablets,Electronics,South,609094.37,128734.5,12
19-02-2027,Vases,Home Decor,West,7432.51,1671.88,3
19-02-2027,Sneakers,Clothing,East,44417.53,16916.17,13
20-02-2027,Office Chairs,Furniture,East,291978.33,80143.01,13
20-02-2027,Laptops,Electronics,South,213387.58,54052.13,4
21-02-2027,Tablets,Electronics,East,263193.55,93999.6,7
22-02-2027,Jackets,Clothing,North,58518.88,13574.33,14
26-02-2027,Desks,Furniture,South,33434.21,12920.18,2
28-02-2027,T-Shirts,Clothing,South,12635.51,3730.76,4
03-03-2027,Sofas,Furniture,West,255498.76,63460.27,14
12-03-2027,Wall Art,Home Decor,South,10018.98,2692.18,5
12-03-2027,Desks,Furniture,North,270669.29,59519.99,15
16-03-2027,T-Shirts,Clothing,North,40489.45,12234.03,15
16-03-2027,Laptops,Electronics,North,293237.52,66243.45,8
19-03-2027,Sneakers,Clothing,North,52754.59,17775.48,11
20-03-2027,Scented Candles,Home Decor,East,9486.2,2090.38,3
22-03-2027,Wall Art,Home Decor,South,24768.57,5689.09,11
26-03-2027,Bookshelves,Furniture,East,126615.0,37509.46,6
26-03-2027,Clocks,Home Decor,North,2423.2,748.34,1
28-03-2027,Lamps,Furniture,East,170825.44,67790.33,9
31-03-2027,Bookshelves,Furniture,North,29942.74,11194.37,2
01-04-2027,Sneakers,Clothing,West,10173.83,3710.4,3
04-04-2027,Sneakers,Clothing,East,37973.63,10839.41,8
08-04-2027,Sofas,Furniture,East,143181.29,60744.97,6
08-04-2027,Wall Art,Home Decor,East,19185.98,8099.34,6
08-04-2027,Tablets,Electronics,North,613877.75,184173.33,13
09-04-2027,Bookshelves,Furniture,South,337655.79,78405.65,14
09-04-2027,Bookshelves,Furniture,South,173949.08,77013.01,7
13-04-2027,Sofas,Furniture,East,140660.8,53305.84,7
15-04-2027,Clocks,Home Decor,West,7911.84,2503.89,3
17-04-2027,Headphones,Electronics,West,538215.54,102050.09,11
18-04-2027,Jeans,Clothing,South,42247.76,10495.89,13
27-04-2027,Desks,Furniture,South,286553.34,56393.32,14
29-04-2027,Monitors,Electronics,East,723380.0,220212.02,12
01-05-2027,Scented Candles,Home Decor,South,2014.22,355.91,1
04-05-2027,Rug,Home Decor,East,38326.49,12983.07,15
07-05-2027,Desks,Furniture,East,170034.89,62738.98,9
10-05-2027,Bookshelves,Furniture,East,245800.47,87030.09,15
11-05-2027,Jeans,Clothing,West,62357.17,18941.98,15
13-05-2027,Jeans,Clothing,East,34122.13,14385.92,9
14-05-2027,Clocks,Home Decor,North,15733.64,6428.02,6
18-05-2027,Desks,Furniture,North,99334.5,35257.55,7
20-05-2027,Smartphones,Electronics,East,280775.9,68040.92,5
23-05-2027,Lamps,Furniture,West,221261.36,92703.62,14
25-05-2027,Wall Art,Home Decor,South,23862.51,8447.2,10
28-05-2027,Desks,Furniture,South,104257.22,31692.57,5
30-05-2027,Bookshelves,Furniture,North,144623.59,59526.17,10
30-05-2027,Bookshelves,Furniture,East,188363.08,30212.46,8
08-06-2027,Vases,Home Decor,East,18300.43,2829.25,5
08-06-2027,Laptops,Electronics,North,710725.71,186769.86,14
10-06-2027,Desks,Furniture,East,190215.43,66901.07,11
10-06-2027,Headphones,Electronics,West,142153.29,59662.76,3
12-06-2027,Laptops,Electronics,West,321277.08,100350.59,6
14-06-2027,Sofas,Furniture,North,166240.9,60034.55,9
16-06-2027,Monitors,Electronics,West,42836.87,14317.81,1
18-06-2027,Vases,Home Decor,East,2329.65,906.2,1
19-06-2027,T-Shirts,Clothing,South,38228.41,9352.04,14
20-06-2027,Sofas,Furniture,North,248946.5,68405.36,13
22-06-2027,Laptops,Electronics,North,140631.92,22420.09,4
22-06-2027,Bookshelves,Furniture,West,115690.67,17691.07,6
25-06-2027,Scented Candles,Home Decor,East,2962.36,970.17,1
26-06-2027,Office Chairs,Furniture,East,217277.02,70341.89,9
